"S. No","Enquiry Date","Enquiry Number","Assigned To Executive","Company Name",Phone,Source,Status
1,12-10-2017,"Person Visit","Wasim Akram.MD","MANGAL FOODS",9849353252,,,
2,07-10-2017,"Mail Enquiry","Wasim Akram.MD","PHI SEEDS PVT LTD",9959595338,,,
3,09-10-2017,Mail,"Pavan Kumar Mandaloju "," Sathavahana Ispat Limited",04023730812,,,
4,23-10-2017,2017001647,"Adithya Subash Chander","Sree Rayalaseema Alkalies & Allied Chemicals Ltd.",8518221933,,,
5,23-10-2017,2017001647,"Adithya Subash Chander","Sree Rayalaseema Alkalies & Allied Chemicals Ltd.",8518221933,,,
6,21-10-2017,mail,"Noman Ali Khan","CAUVERY IRON",040-27840371,,,
7,23-10-2017,mail,"Subrahmanyam.Dudde.Veera.Venkata ","Bharathi Cement Corp Pvt Ltd",8985600548,,,
8,24-10-2017,Verbal,"Gowtham Goud.M","Aurbindo Pharma Ltd",9676831098,,,
9,23-10-2017,Mail,Jagdish.A,"Gayatri Sugars Limited"," 94408 â€‹00577 ",,,
10,24-10-2017,"Enq for Pump","Subrahmanyam.Dudde.Veera.Venkata ","Sahyadri Industries Ltd.",9951048888,,,
